MMSI;Name;Last known latitude;Last known longitude;Date;Time
227391000;;48.24131393432617;-4.968128681182861;13/05/2015;17:43:45;
228802000;"F/V OURAL";47.421226501464844;-3.684063196182251;05/06/2015;14:14:08;
227297000;"THALASSA";48.381526947021484;-4.481534957885742;05/06/2015;13:09:32;
227270000;"THALIA";48.35285949707031;-5.043111801147461;05/06/2015;13:06:44;
227116100;"F/V MALUKA";47.728599548339844;-3.3670883178710938;05/06/2015;14:17:39;
228026000;"ALCYON";48.37126541137695;-4.512399673461914;05/06/2015;13:09:34;
228186700;"ARGONAUTE";48.37083435058594;-4.512499809265137;05/06/2015;14:18:16;
228032800;"STELLAMARIS";47.10723876953125;-2.3420817852020264;05/06/2015;14:17:18;
235000132;"S/V KASKELOT";48.20653533935547;-5.538228511810303;18/05/2015;21:38:13;
228000700;"ETOILE DU ROY";48.33369064331055;-4.801818370819092;18/05/2015;12:11:20;
235006020;"BESSIE ELLEN";48.28783416748047;-4.739608287811279;19/05/2015;17:40:00;
227749270;"ILE DE GROIX";47.74082946777344;-3.3501317501068115;05/06/2015;14:18:11;
370367000;;48.38081741333008;-4.467673301696777;14/05/2015;18:13:34;
227056460;"EMPEDOCLE";47.73920440673828;-3.3529884815216064;02/06/2015;11:53:43;
226158000;"F/V JULIEN COLEOU";47.72866439819336;-3.360833168029785;14/05/2015;18:12:49;
227003850;"COTES DE BRETAGNE";47.59806823730469;-3.5641400814056396;05/06/2015;14:17:50;
228114000;"F/V AZKARRA";48.950748443603516;-7.061450004577637;27/05/2015;21:33:13;
245030000;;48.04252624511719;-4.849818229675293;22/05/2015;11:48:04;
227893000;"F/V FLEUR DES VAGUES";46.48110580444336;-1.785794973373413;05/06/2015;14:14:52;
228219600;"ANDRE L";46.00133514404297;-1.83412504196167;04/06/2015;10:56:08;
226070000;"TARA   ";47.72673416137695;-3.370673418045044;05/06/2015;13:04:25;
228267700;"BRETAGNE";47.74545669555664;-3.348175048828125;05/06/2015;14:17:45;
228229900;"F/V MANBRISA";46.49821472167969;-1.7867799997329712;05/06/2015;14:17:44;
227306100;"LA RECOUVRANCE";48.3805046081543;-4.4869585037231445;05/06/2015;14:18:11;
244189000;"IRIS";48.628440856933594;-4.756219863891602;20/05/2015;16:42:35;
